キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
n,0.069,0.268,461.818
n,0.082,0.069,461.956
g,0.123,3.572,465.610
i,0.099,3.656,465.693
s,0.191,0.336,466.128
a,0.198,0.420,466.212
g,0.104,1.317,467.727
i,0.130,1.403,467.813
s,0.113,0.153,468.096
e,0.130,0.094,468.302
i,0.090,0.047,468.479
m,0.093,0.924,469.493
i,0.085,0.082,469.667
n,0.082,0.093,469.844
n,0.067,0.083,470.010
n,0.067,0.070,470.146
a,0.132,0.033,470.245
n,0.078,1.084,471.460
u,0.073,0.121,471.660
r,0.132,0.176,471.910
u,0.142,0.245,471.978
i,0.087,1.209,473.329
k,0.090,0.154,473.571
e,0.135,0.516,474.176
n,0.081,0.174,474.485
n,0.087,0.049,474.615
u,0.098,0.895,475.598
g,0.115,0.359,476.055
o,0.072,0.030,476.199
k,0.110,0.107,476.378
u,0.081,0.116,476.604
o,0.109,1.227,477.913
d,0.115,0.400,478.422
o,0.093,0.483,478.505
r,0.102,0.077,478.676
u,0.072,0.029,478.807
r,0.127,1.020,479.899
i,0.057,1.147,480.026
k,0.090,0.103,480.187
a,0.119,0.032,480.310
u,0.096,0.923,481.352
s,0.176,0.105,481.552
a,0.157,0.199,481.647
g,0.113,1.415,483.218
i,0.096,1.511,483.314
y,0.123,1.742,485.152
o,0.115,1.835,485.246
u,0.102,0.181,485.542
k,0.087,0.497,486.142
a,0.140,0.029,486.258
y,0.131,2.213,488.611
o,0.106,2.315,488.712
b,0.110,1.081,489.899
u,0.084,1.173,489.991
e,0.125,1.734,491.810
n,0.086,0.134,492.068
p,0.083,0.939,493.092
o,0.088,0.083,493.259
u,0.066,0.129,493.477
s,0.147,1.220,494.762
a,0.140,0.102,495.011
m,0.093,0.717,495.868
a,0.124,0.791,495.942
s,0.118,0.205,496.271
u,0.081,0.303,496.369
t,0.126,1.572,498.021
y,0.091,0.030,498.178
o,0.087,0.161,498.430
u,0.065,0.104,498.621
u,0.093,1.606,500.291
s,0.118,0.125,500.509
o,0.071,0.232,500.616
t,0.111,1.056,501.744
u,0.074,0.530,502.384
k,0.079,0.177,502.636
i,0.069,0.078,502.792
k,0.085,1.071,503.933
a,0.148,1.132,503.994
t,0.078,0.084,504.225
i,0.079,0.034,504.338
right,0.133,32.276,536.692
