キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
e,0.113,0.235,364.330
n,0.084,1.019,365.462
a,0.064,0.033,365.579
e,0.091,0.097,365.740
n,0.091,0.275,366.106
e,0.095,0.048,366.245
r,0.091,0.502,366.842
u,0.064,0.574,366.914
t,0.074,0.486,367.464
y,0.098,0.469,368.008
o,0.107,0.563,368.101
r,0.096,0.220,368.428
i,0.076,0.298,368.506
t,0.078,0.674,369.256
o,0.047,0.041,369.376
k,0.133,0.043,369.465
u,0.098,0.143,369.566
r,0.064,0.388,370.052
r,0.109,0.107,370.224
y,0.064,0.056,370.389
o,0.085,0.024,370.477
u,0.101,0.081,370.533
r,0.101,0.588,371.222
i,0.086,0.663,371.298
s,0.091,0.038,371.422
u,0.083,0.125,371.509
r,0.086,0.498,372.090
i,0.089,0.578,372.169
t,0.081,0.055,372.313
u,0.061,0.029,372.424
y,0.086,0.839,373.323
o,0.086,0.034,373.443
k,0.156,0.109,373.518
u,0.112,0.094,373.622
r,0.115,0.212,373.947
i,0.090,0.325,374.059
t,0.056,0.039,374.188
s,0.075,0.255,374.499
r,0.081,0.336,374.910
i,0.080,0.417,374.991
s,0.082,0.052,375.124
u,0.054,0.029,375.234
a,0.157,0.624,375.912
m,0.077,0.093,376.162
a,0.080,0.027,376.267
i,0.117,0.034,376.381
t,0.091,0.402,376.899
o,0.055,0.034,377.024
r,0.075,0.026,377.105
i,0.100,0.027,377.207
w,0.149,0.749,378.056
a,0.148,0.825,378.132
r,0.138,0.041,378.322
e,0.122,0.130,378.410
j,0.113,1.179,379.711
i,0.115,1.230,379.762
m,0.104,0.052,379.930
o,0.139,0.113,379.990
j,0.118,0.918,381.047
i,0.304,0.965,381.094
k,0.168,0.078,381.476
o,0.109,0.208,381.607
k,0.105,0.941,382.656
e,0.094,1.041,382.757
i,0.079,0.025,382.876
g,0.084,0.319,383.274
o,0.072,0.403,383.358
r,0.101,0.401,383.830
u,0.082,0.478,383.908
d,0.122,0.542,384.533
o,0.104,0.662,384.652
r,0.095,0.237,384.993
u,0.074,0.317,385.073
d,0.110,2.009,387.156
o,0.090,2.119,387.266
d,0.205,0.553,387.909
e,0.138,0.684,388.040
n,0.156,0.140,388.317
k,0.093,0.049,388.522
i,0.136,0.061,388.676
u,0.068,1.992,390.804
s,0.072,0.038,390.911
u,0.089,0.096,390.969
i,0.093,0.055,391.113
j,0.127,0.446,391.652
i,0.113,0.513,391.719
k,0.181,0.044,391.876
o,0.116,0.144,391.976
s,0.198,0.681,392.773
a,0.122,0.825,392.918
s,0.090,0.276,393.316
u,0.053,0.034,393.440
n,0.076,1.008,394.501
a,0.105,1.071,394.564
m,0.076,0.039,394.708
a,0.108,0.043,394.827
y,0.072,0.788,395.723
a,0.086,0.032,395.827
r,0.084,0.113,396.026
u,0.094,0.031,396.142
s,0.065,0.619,396.854
i,0.036,0.033,396.952
a,0.119,0.050,397.037
i,0.089,0.130,397.118
t,0.079,0.795,398.001
o,0.066,0.874,398.080
m,0.102,0.283,398.429
a,0.139,0.207,398.739
t,0.096,0.188,399.066
o,0.093,0.211,399.373
g,0.088,0.515,399.982
y,0.039,0.034,400.103
o,0.108,0.018,400.161
u,0.087,0.084,400.227
n,0.090,0.472,400.786
e,0.075,0.033,400.909
t,0.061,0.117,401.101
u,0.052,0.028,401.190
i,0.064,0.502,401.744
k,0.068,0.080,401.889
e,0.088,0.071,402.028
n,0.066,0.147,402.262
n,0.097,0.040,402.369
r,0.079,0.674,403.139
u,0.025,0.033,403.252
s,0.086,0.132,403.409
u,0.082,0.212,403.490
g,0.095,0.463,404.034
y,0.064,0.042,404.172
o,0.095,0.030,404.266
u,0.092,0.088,404.324
y,0.095,0.617,405.033
u,0.090,0.307,405.435
k,0.086,0.200,405.725
a,0.088,0.034,405.845
o,0.096,0.611,406.544
m,0.082,0.033,406.672
o,0.102,0.082,406.722
t,0.090,0.221,407.045
a,0.115,0.282,407.106
i,0.070,0.026,407.247
r,0.130,0.411,407.728
e,0.116,0.489,407.806
k,0.059,0.044,407.902
i,0.076,0.061,408.023
m,0.055,0.503,408.602
e,0.068,0.033,408.690
i,0.078,0.275,409.033
