キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
h,0.104,0.676,270.049
u,0.089,0.751,270.125
k,0.120,0.047,270.262
a,0.075,0.150,270.364
i,0.095,0.010,270.449
h,0.120,0.915,271.459
a,0.113,0.976,271.520
t,0.089,0.096,271.729
o,0.090,0.156,271.790
i,0.060,0.901,272.780
k,0.076,0.104,272.945
e,0.089,0.046,273.066
n,0.090,0.091,273.246
n,0.103,0.046,273.382
h,0.101,0.813,274.298
o,0.102,0.844,274.328
n,0.076,0.090,274.520
n,0.123,0.028,274.624
k,0.071,0.017,274.763
i,0.115,0.051,274.885
a,0.091,0.554,275.554
n,0.226,0.629,275.630
s,0.104,0.030,275.885
i,0.105,0.091,275.947
n,0.104,0.043,276.095
n,0.098,0.052,276.251
w,0.136,0.479,276.829
a,0.119,0.615,276.965
r,0.139,0.107,277.191
e,0.132,0.167,277.251
n,0.165,0.677,278.060
i,0.128,0.752,278.134
u,0.107,0.752,278.135
n,0.069,0.044,278.306
n,0.113,0.041,278.416
z,0.089,0.071,278.600
u,0.104,0.100,278.628
u,0.092,0.045,278.778
n,0.103,0.287,279.157
i,0.126,0.028,279.289
z,0.101,0.016,279.431
n,0.088,0.102,279.516
n,0.091,0.033,279.638
i,0.118,0.434,280.163
n,0.089,0.105,280.385
n,0.095,0.059,280.534
z,0.085,0.015,280.644
u,0.075,0.100,280.729
u,0.126,0.316,281.120
i,0.077,0.345,281.149
m,0.166,0.774,282.021
o,0.121,0.059,282.245
e,0.120,0.104,282.471
r,0.121,0.060,282.650
u,0.133,0.123,282.713
d,0.120,0.765,283.611
o,0.104,0.839,283.685
r,0.122,0.120,283.909
u,0.119,0.226,284.015
u,0.135,0.765,284.900
n,0.136,0.824,285.860
a,0.086,0.018,286.013
g,0.105,0.135,286.235
i,0.077,0.015,286.355
j,0.167,0.764,287.197
i,0.121,0.826,287.259
k,0.114,0.061,287.441
u,0.109,0.060,287.614
space,0.077,0.161,287.885
b,0.181,2.967,290.929
a,0.151,3.088,291.049
i,0.107,0.057,291.167
k,0.119,0.047,291.321
u,0.106,0.059,291.498
d,0.150,1.891,293.496
e,0.160,1.910,293.514
a,0.059,0.063,293.738
u,0.114,0.053,293.849
h,0.097,0.936,294.899
a,0.061,1.033,294.996
n,0.094,0.055,295.051
a,0.090,0.089,295.146
h,0.149,0.811,296.047
u,0.123,0.870,296.106
n,0.121,0.057,296.286
e,0.074,0.178,296.407
b,0.058,0.978,297.459
i,0.089,0.525,298.041
b,0.120,0.408,298.539
i,0.119,0.511,298.642
t,0.110,0.360,299.121
u,0.134,0.086,299.316
b,0.116,0.364,299.814
i,0.103,0.016,299.946
r,0.118,0.049,300.099
u,0.121,0.120,300.170
j,0.150,0.723,301.014
i,0.109,0.780,301.071
k,0.223,0.044,301.224
o,0.118,0.166,301.346
h,0.122,0.717,302.181
u,0.133,0.793,302.256
m,0.134,0.062,302.452
u,0.136,0.060,302.646
t,0.123,0.675,303.457
y,0.074,0.692,303.474
a,0.076,0.326,303.905
m,0.091,0.135,304.115
a,0.107,0.225,304.206
t,0.149,0.734,305.046
a,0.121,0.016,305.211
m,0.116,0.017,305.349
y,0.134,0.091,305.557
a,0.106,0.059,305.750
m,0.133,0.138,305.829
u,0.120,0.074,306.036
k,0.135,1.126,307.282
e,0.106,0.059,307.477
i,0.127,0.052,307.634
k,0.181,0.721,308.483
o,0.152,0.802,308.563
u,0.117,0.009,308.724
u,0.118,0.632,309.473
g,0.121,0.104,309.695
o,0.093,0.192,309.783
k,0.122,0.015,309.891
i,0.131,0.052,310.065
t,0.122,0.611,310.807
y,0.136,0.611,310.807
y,0.134,0.240,311.183
a,0.139,0.059,311.375
r,0.113,0.051,311.565
u,0.192,0.061,311.740
b,0.104,0.811,312.742
e,0.122,0.089,312.936
r,0.119,0.061,313.118
u,0.152,0.137,313.194
u,0.122,1.435,314.781
g,0.164,0.180,315.083
a,0.106,0.256,315.159
i,0.114,0.017,315.282
s,0.105,0.587,315.983
i,0.120,0.676,316.072
r,0.101,0.020,316.212
u,0.120,0.106,316.297
s,0.166,1.113,317.531
a,0.119,1.215,317.633
t,0.090,0.181,317.933
t,0.047,0.043,318.065
o,0.106,0.090,318.202
s,0.146,0.440,318.747
a,0.165,0.194,319.087
i,0.105,0.015,319.267
j,0.208,0.166,319.538
k,0.134,0.182,319.554
i,0.136,0.225,319.597
s,0.135,0.542,320.288
a,0.141,0.602,320.348
i,0.101,0.051,320.474
k,0.090,0.043,320.618
i,0.089,0.061,320.768
n,0.076,0.059,320.917
n,0.094,0.028,321.021
t,0.104,0.702,321.817
o,0.126,0.748,321.863
t,0.100,0.016,322.004
i,0.106,0.099,322.088
h,0.134,0.736,322.930
a,0.127,0.794,322.988
k,0.086,0.011,323.126
u,0.121,0.060,323.272
j,0.118,0.707,324.099
a,0.103,0.795,324.188
n,0.120,0.182,324.473
n,0.089,0.165,324.758
p,0.105,0.166,325.013
u,0.095,0.133,325.252
t,0.103,0.900,326.247
r,0.062,0.925,326.272
i,0.103,0.016,326.350
z,0.106,0.137,326.591
u,0.101,0.197,326.651
t,0.105,0.841,327.592
i,0.104,0.917,327.669
