キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
i,0.109,0.190,291.437
e,0.104,0.356,291.903
i,0.078,0.451,291.998
m,0.178,0.057,292.133
i,0.136,0.130,292.206
m,0.089,0.473,292.815
u,0.083,0.156,293.060
r,0.074,0.054,293.198
i,0.076,0.121,293.264
e,0.081,0.577,293.917
m,0.145,0.043,294.041
i,0.128,0.138,294.136
a,0.108,1.150,295.414
p,0.041,0.032,295.554
p,0.058,0.063,295.658
u,0.079,0.119,295.835
k,0.109,0.450,296.364
e,0.113,0.050,296.523
n,0.043,0.029,296.665
n,0.063,0.049,296.758
k,0.102,0.043,296.863
a,0.036,0.033,296.998
d,0.191,0.530,297.565
a,0.099,0.664,297.698
r,0.145,0.178,297.975
e,0.100,0.267,298.064
d,0.090,0.523,298.687
o,0.084,0.587,298.751
k,0.207,0.022,298.857
o,0.087,0.112,298.947
j,0.149,0.834,299.899
n,0.122,0.204,300.252
i,0.116,0.308,300.356
s,0.052,0.202,300.674
i,0.107,0.243,300.715
y,0.109,0.533,301.355
o,0.098,0.038,301.502
t,0.096,0.070,301.669
r,0.061,0.075,301.675
u,0.058,0.028,301.793
i,0.003,0.028,301.793
y,0.074,0.963,302.814
o,0.070,0.030,302.919
t,0.063,0.028,303.017
i,0.069,0.025,303.105
y,0.088,1.519,304.693
o,0.093,0.065,304.846
r,0.092,0.026,304.964
i,0.076,0.031,305.087
s,0.091,0.959,306.122
i,0.076,0.027,306.240
t,0.115,0.069,306.385
y,0.085,0.072,306.387
a,0.058,0.059,306.559
i,0.107,0.814,307.430
s,0.083,0.121,307.658
u,0.068,0.031,307.772
r,0.055,1.641,309.481
y,0.075,0.162,309.698
o,0.061,0.031,309.804
u,0.082,0.027,309.892
d,0.172,0.745,310.719
a,0.102,0.846,310.820
m,0.092,0.907,310.881
e,0.078,0.057,311.031
m,0.076,0.789,311.898
a,0.092,0.070,312.044
o,0.061,0.174,312.310
m,0.113,0.486,312.857
a,0.093,0.031,313.001
d,0.092,0.113,313.207
o,0.084,0.205,313.299
g,0.067,0.859,314.242
o,0.088,0.868,314.251
m,0.213,0.076,314.415
i,0.093,0.166,314.505
s,0.136,0.841,315.469
a,0.093,0.947,315.576
s,0.081,0.092,315.761
u,0.062,0.027,315.869
a,0.093,0.993,316.924
u,0.094,0.305,317.322
s,0.062,0.061,317.477
u,0.077,0.022,317.561
i,0.119,0.118,317.756
t,0.111,1.179,319.054
o,0.090,1.282,319.158
e,0.110,0.507,319.754
r,0.140,0.507,319.754
i,0.114,0.049,319.943
t,0.071,0.540,320.597
o,0.070,0.031,320.699
r,0.069,0.032,320.801
i,0.087,0.026,320.896
k,0.071,0.778,321.761
a,0.052,0.031,321.862
j,0.177,0.026,321.940
i,0.137,0.105,322.019
s,0.109,0.933,323.089
a,0.099,0.975,323.131
k,0.078,0.030,323.228
u,0.110,0.075,323.381
o,0.113,1.403,324.894
p,0.070,1.415,324.906
t,0.079,0.218,325.224
t,0.061,0.043,325.346
o,0.084,0.023,325.429
t,0.087,0.376,325.890
t,0.052,0.055,326.032
o,0.064,0.060,326.143
k,0.125,0.834,327.041
a,0.056,0.031,327.197
k,0.104,0.043,327.296
a,0.074,0.402,327.802
k,0.085,0.464,327.864
k,0.092,0.306,328.256
a,0.079,0.041,328.389
t,0.075,0.338,328.806
i,0.065,0.031,328.912
t,0.089,0.854,329.831
i,0.071,0.943,329.920
k,0.105,0.046,330.037
a,0.011,0.032,330.174
y,0.105,0.854,331.039
o,0.087,0.950,331.135
r,0.070,0.109,331.331
u,0.058,0.030,331.431
y,0.084,1.035,332.523
o,0.081,1.101,332.590
u,0.086,0.023,332.694
i,0.081,0.108,332.888
i,0.103,1.204,334.173
n,0.107,0.105,334.381
o,0.103,0.040,334.528
i,0.058,0.054,334.543
t,0.078,0.115,334.746
i,0.079,0.028,334.852
i,0.089,0.488,335.419
n,0.096,0.193,335.701
o,0.120,0.084,335.881
t,0.084,0.616,336.617
i,0.089,0.691,336.692
w,0.139,0.866,337.647
a,0.116,0.973,337.754
r,0.098,0.162,338.031
i,0.083,0.027,338.156
b,0.165,0.814,339.053
a,0.125,0.920,339.160
-,0.096,0.141,339.425
g,0.161,0.471,339.993
e,0.100,0.576,340.098
n,0.062,0.044,340.197
n,0.093,0.055,340.314
k,0.116,0.677,341.084
a,0.073,0.787,341.194
t,0.072,0.159,341.425
u,0.069,0.030,341.528
o,0.081,1.145,342.742
n,0.061,0.092,342.914
n,0.055,0.073,343.049
d,0.119,0.037,343.141
o,0.086,0.101,343.205
t,0.104,2.039,345.331
u,0.089,0.040,345.475
k,0.098,0.294,345.857
u,0.095,0.075,346.031
e,0.096,1.042,347.168
m,0.196,0.064,347.328
i,0.135,0.156,347.420
d,0.196,0.597,348.152
e,0.154,0.666,348.221
r,0.126,0.212,348.587
t,0.092,0.214,348.589
u,0.089,0.031,348.711
t,0.108,1.039,349.839
o,0.116,0.068,350.015
r,0.099,0.156,350.287
i,0.058,0.030,350.416
i,0.059,0.072,350.547
space,0.067,0.283,350.889
i,0.070,4.559,355.515
j,0.087,0.167,355.752
y,0.084,0.055,355.893
o,0.043,0.024,356.001
i,0.025,0.024,356.001
u,0.086,0.026,356.069
i,0.092,0.815,356.970
u,0.059,0.818,356.973
i,0.066,0.669,357.731
j,0.090,0.089,357.887
y,0.062,0.054,358.031
o,0.067,0.110,358.087
u,0.086,0.021,358.175
b,0.093,1.970,360.230
i,0.094,0.030,360.353
z,0.101,0.371,360.818
a,0.090,0.145,361.064
d,0.180,0.552,361.706
e,0.156,0.607,361.760
a,0.067,0.090,362.007
u,0.092,0.077,362.151
h,0.162,1.294,363.537
a,0.097,1.390,363.633
k,0.066,0.032,363.761
u,0.093,0.069,363.896
r,0.090,0.959,364.948
i,0.089,0.042,365.080
s,0.085,0.033,365.201
u,0.102,0.112,365.281
j,0.177,0.619,366.002
i,0.135,0.686,366.069
s,0.059,0.075,366.279
r,0.133,0.343,366.681
a,0.089,0.030,366.845
i,0.084,0.096,367.029
u,0.102,1.160,368.273
e,0.084,0.112,368.487
r,0.081,0.096,368.667
u,0.090,0.159,368.729
k,0.094,0.888,369.707
i,0.088,0.075,369.875
z,0.088,0.054,370.017
u,0.095,0.025,370.130
y,0.100,1.105,371.330
o,0.075,1.180,371.406
k,0.063,0.056,371.536
u,0.097,0.058,371.657
k,0.090,0.894,372.647
u,0.096,0.089,372.826
r,0.072,0.060,372.982
o,0.063,0.033,373.087
i,0.040,0.033,373.087
y,0.113,0.939,374.088
a,0.110,0.064,374.265
m,0.091,0.151,374.352
u,0.099,0.096,374.539
w,0.167,0.725,375.364
a,0.133,0.859,375.497
r,0.139,0.083,375.714
e,0.197,0.086,375.716
k,0.102,1.133,377.047
a,0.079,0.049,377.198
z,0.073,0.120,377.397
e,0.075,0.072,377.542
g,0.151,1.024,378.642
a,0.132,1.083,378.701
s,0.101,0.064,378.896
u,0.089,0.136,378.968
h,0.085,0.985,380.042
i,0.049,0.031,380.157
m,0.130,0.110,380.316
o,0.082,0.052,380.498
j,0.180,0.885,381.466
k,0.133,0.896,381.476
i,0.121,0.967,381.547
m,0.173,0.056,381.724
i,0.100,0.171,381.839
i,0.087,0.949,382.888
t,0.142,0.122,383.097
a,0.092,0.255,383.231
m,0.157,0.043,383.366
i,0.104,0.177,383.500
s,0.086,1.090,384.694
o,0.073,1.154,384.757
t,0.074,0.144,384.975
o,0.061,0.217,385.047
t,0.145,1.267,386.375
a,0.099,1.373,386.482
t,0.098,0.069,386.649
u,0.096,0.029,386.776
j,0.182,0.564,387.437
i,0.126,0.651,387.523
k,0.083,0.075,387.724
a,0.066,0.052,387.858
n,0.027,0.023,387.948
n,0.066,0.063,388.038
j,0.151,0.645,388.750
i,0.111,0.725,388.830
m,0.093,0.058,388.998
u,0.080,0.092,389.183
y,0.107,0.794,390.057
u,0.071,0.875,390.139
m,0.084,0.120,390.330
u,0.074,0.062,390.476
t,0.069,0.764,391.313
u,0.060,0.816,391.365
m,0.078,0.122,391.547
u,0.063,0.067,391.692
n,0.075,0.950,392.705
a,0.088,0.033,392.814
k,0.060,0.024,392.925
a,0.074,0.038,393.024
t,0.098,0.943,394.041
u,0.080,1.039,394.137
m,0.073,0.094,394.310
u,0.078,0.064,394.446
8,0.024,0.089,394.472
t,0.084,0.710,395.234
u,0.043,0.030,395.348
m,0.075,0.108,395.500
u,0.072,0.058,395.633
b,0.128,0.914,396.619
u,0.102,0.086,396.833
t,0.117,0.129,397.064
a,0.059,0.099,397.280
p,0.106,1.415,398.754
i,0.116,0.081,398.942
o,0.079,0.081,398.942
s,0.071,0.030,399.087
u,0.087,0.052,399.210
t,0.077,0.078,399.375
p,0.052,0.027,399.479
o,0.034,0.028,399.480
n,0.142,0.606,400.137
i,0.120,0.683,400.214
s,0.081,0.066,400.399
i,0.079,0.133,400.467
s,0.128,0.846,401.392
a,0.080,0.951,401.497
k,0.081,0.055,401.575
e,0.104,0.024,401.679
r,0.089,1.625,403.408
u,0.093,1.697,403.480
-,0.095,0.116,403.689
r,0.094,0.119,403.904
u,0.040,0.030,404.028
r,0.109,1.003,405.072
i,0.079,1.096,405.164
t,0.090,0.063,405.306
u,0.091,0.122,405.366
r,0.060,0.563,406.020
i,0.096,0.618,406.075
s,0.086,0.259,406.430
d,0.056,0.259,406.430
u,0.042,0.035,406.552
r,0.103,0.821,407.414
i,0.067,0.030,407.547
s,0.088,0.027,407.641
u,0.095,0.100,407.713
j,0.230,0.956,408.764
i,0.117,1.039,408.847
s,0.080,0.035,409.028
a,0.098,0.114,409.108
t,0.114,1.102,410.307
0,0.051,0.209,410.630
p,0.078,0.213,410.634
o,0.107,0.218,410.640
w,0.154,0.862,411.609
a,0.087,1.001,411.749
k,0.087,0.046,411.810
u,0.095,0.072,411.968
d,0.160,1.001,413.064
a,0.129,1.071,413.135
r,0.119,0.073,413.337
e,0.165,0.084,413.347
m,0.102,0.437,413.950
a,0.088,0.030,414.082
k,0.077,0.111,414.280
e,0.091,0.041,414.398
y,0.086,0.662,415.151
o,0.095,0.746,415.235
u,0.130,0.093,415.423
t,0.084,0.480,416.033
o,0.089,0.515,416.068
u,0.069,0.032,416.189
j,0.194,0.412,416.670
u,0.120,0.516,416.774
i,0.153,0.518,416.776
space,0.055,0.139,417.068
r,0.080,8.635,425.758
i,0.062,0.029,425.868
y,0.083,0.087,426.017
o,0.094,0.133,426.063
u,0.102,0.037,426.137
