キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
n,0.182,0.165,310.672
a,0.152,0.313,310.821
i,0.149,0.015,310.988
i,0.166,0.254,311.391
k,0.116,0.017,311.574
o,0.145,0.051,311.742
u,0.149,0.030,311.917
a,0.180,0.226,312.292
s,0.135,0.060,312.531
i,0.138,0.058,312.724
z,0.115,0.726,313.587
e,0.121,0.089,313.791
n,0.134,0.016,313.928
z,0.136,0.090,314.152
e,0.111,0.054,314.342
n,0.086,0.018,314.470
n,0.103,0.033,314.589
n,0.088,0.047,314.738
r,0.180,0.376,315.202
i,0.086,0.529,315.355
k,0.149,0.046,315.487
a,0.180,0.135,315.576
o,0.134,0.991,316.748
m,0.121,0.089,316.971
o,0.196,0.074,317.167
y,0.164,0.914,318.277
u,0.146,0.051,318.492
b,0.137,0.104,318.743
n,0.103,0.122,318.760
i,0.180,0.088,318.968
y,0.180,0.344,319.492
u,0.180,0.060,319.732
n,0.186,0.180,320.092
b,0.120,0.196,320.108
y,0.132,0.510,320.788
u,0.108,0.054,320.974
n,0.162,0.138,321.220
b,0.151,0.316,321.698
y,0.137,0.286,322.135
u,0.168,0.053,322.325
b,0.118,0.017,322.510
i,0.147,0.048,322.676
z,0.135,0.285,323.108
e,0.197,0.047,323.290
n,0.150,0.165,323.408
i,0.180,0.071,323.558
s,0.134,1.036,324.774
a,0.158,0.053,324.961
m,0.148,0.061,325.180
u,0.121,0.089,325.417
k,0.181,0.059,325.597
e,0.164,0.183,325.721
h,0.135,0.719,326.603
u,0.193,0.525,327.264
s,0.152,0.105,327.562
u,0.083,0.023,327.737
m,0.163,0.104,327.924
a,0.196,0.193,328.012
m,0.180,0.315,328.523
a,0.164,0.450,328.658
d,0.137,0.060,328.882
o,0.169,0.055,329.074
y,0.165,0.346,329.589
o,0.183,0.510,329.754
u,0.117,0.059,329.996
t,0.150,0.841,330.954
h,0.178,0.902,332.006
a,0.181,1.080,332.183
n,0.184,0.135,332.318
a,0.133,0.119,332.484
m,0.153,0.557,333.174
a,0.134,0.692,333.309
e,0.151,0.046,333.488
m,0.183,0.224,333.863
e,0.136,0.389,334.028
s,0.134,0.105,334.269
u,0.195,0.029,334.432
p,0.136,0.646,335.273
u,0.211,0.028,335.437
r,0.166,0.180,335.589
o,0.149,0.090,335.739
n,0.182,0.255,336.143
a,0.163,0.406,336.294
m,0.210,0.101,336.427
a,0.166,0.135,336.592
n,0.270,0.796,337.554
e,0.148,0.979,337.737
g,0.150,0.209,338.095
i,0.137,0.028,338.272
a,0.180,0.855,339.264
i,0.150,1.018,339.428
t,0.133,0.049,339.626
e,0.116,0.048,339.808
k,0.179,0.240,340.164
a,0.180,0.404,340.328
z,0.120,0.121,340.629
e,0.129,0.080,340.829
t,0.167,0.646,341.603
i,0.153,0.055,341.825
z,0.150,0.016,341.994
u,0.166,0.150,342.128
k,0.196,0.329,342.623
a,0.165,0.464,342.758
s,0.145,0.051,342.974
a,0.168,0.196,343.119
t,0.165,0.343,343.629
e,0.132,0.016,343.811
n,0.133,0.048,343.991
k,0.139,0.091,344.214
i,0.104,0.058,344.411
n,0.123,0.059,344.573
n,0.088,0.030,344.726
n,0.195,0.449,345.263
e,0.122,0.105,345.562
k,0.152,0.706,346.390
a,0.164,0.841,346.525
i,0.180,0.102,346.644
z,0.127,0.052,346.876
i,0.183,0.180,347.004
k,0.150,0.300,347.487
a,0.149,0.403,347.590
z,0.133,0.105,347.844
i,0.164,0.121,347.860
p,0.091,1.230,349.254
w,0.179,0.284,349.630
a,0.106,0.463,349.809
space,0.133,0.061,349.975
y,0.183,1.846,351.954
a,0.176,0.017,352.153
s,0.165,0.135,352.465
a,0.135,0.300,352.630
i,0.152,0.030,352.795
y,0.152,1.481,354.428
a,0.164,1.618,354.565
m,0.148,0.124,354.703
y,0.180,0.569,355.420
a,0.152,0.749,355.600
n,0.163,0.016,355.767
e,0.166,0.119,355.870
