key_info,duration,delay,elapsed_time,推定感情
o,0.079,0.116,320.524,設定状況の魅力
i,0.092,0.938,321.541,設定状況の魅力
t,0.085,0.056,321.69,設定状況の魅力
a,0.104,0.074,321.848,設定状況の魅力
t,0.084,0.306,322.259,設定状況の魅力
t,0.064,0.102,322.444,設定状況の魅力
a,0.084,0.909,323.417,設定状況の魅力
k,0.084,0.032,323.534,設定状況の魅力
a,0.077,0.03,323.647,設定状況の魅力
i,0.063,0.026,323.751,設定状況の魅力
h,0.116,1.028,324.842,設定状況の魅力
i,0.143,1.127,324.941,設定状況の魅力
m,0.206,0.03,325.114,設定状況の魅力
o,0.176,0.183,325.268,設定状況の魅力
a,0.156,0.316,325.76,設定状況の魅力
t,0.11,0.464,325.908,設定状況の魅力
o,0.073,0.022,326.04,設定状況の魅力
b,0.088,0.597,326.71,設定状況の魅力
a,0.052,0.029,326.826,設定状況の魅力
a,0.071,0.092,326.97,設定状況の魅力
i,0.099,0.124,327.164,設定状況の魅力
h,0.123,1.155,328.418,設定状況の魅力
e,0.119,0.036,328.577,設定状況の魅力
h,0.126,0.516,329.212,設定状況の魅力
i,0.1,0.301,329.64,設定状況の魅力
e,0.104,0.23,329.97,設定状況の魅力
r,0.096,0.171,330.245,設定状況の魅力
u,0.141,0.221,330.295,設定状況の魅力
j,0.111,0.884,331.32,設定状況の魅力
y,0.139,0.144,331.574,設定状況の魅力
u,0.117,0.22,331.651,設定状況の魅力
k,0.176,0.189,331.957,設定状況の魅力
u,0.103,0.306,332.074,設定状況の魅力
r,0.12,1.377,333.553,設定状況の魅力
n,0.106,0.05,333.724,設定状況の魅力
e,0.087,0.452,334.282,設定状況の魅力
n,0.092,0.063,334.432,設定状況の魅力
d,0.035,0.241,334.765,設定状況の魅力
h,0.115,0.031,334.831,設定状況の魅力
e,0.12,1.046,335.993,設定状況の魅力
n,0.097,0.202,336.314,設定状況の魅力
s,0.099,0.372,336.783,設定状況の魅力
o,0.197,0.171,337.053,設定状況の魅力
u,0.114,0.312,337.195,設定状況の魅力
b,0.151,0.824,338.133,設定状況の魅力
i,0.145,0.909,338.217,設定状況の魅力
z,0.101,0.295,338.657,設定状況の魅力
a,0.128,0.171,338.929,設定状況の魅力
j,0.151,0.822,339.879,設定状況の魅力
i,0.105,0.9,339.957,設定状況の魅力
k,0.087,0.101,340.163,設定状況の魅力
i,0.104,0.09,340.339,設定状況の魅力
a,0.11,0.764,341.207,設定状況の魅力
t,0.107,0.224,341.541,設定状況の魅力
u,0.122,0.032,341.68,設定状況の魅力
i,0.115,0.057,341.859,設定状況の魅力
b,0.106,0.494,342.467,設定状況の魅力
u,0.113,0.256,342.83,設定状況の魅力
a,0.11,0.43,343.373,設定状況の魅力
b,0.161,0.517,344.0,設定状況の魅力
u,0.112,0.65,344.133,設定状況の魅力
t,0.081,0.09,344.336,設定状況の魅力
a,0.099,0.034,344.45,設定状況の魅力
i,0.102,0.083,344.499,設定状況の魅力
o,0.061,0.755,345.357,設定状況の魅力
n,0.056,0.134,345.551,設定状況の魅力
n,0.061,0.077,345.684,設定状況の魅力
n,0.07,0.066,345.811,設定状況の魅力
a,0.075,0.029,345.911,設定状況の魅力
g,0.114,0.941,346.927,設定状況の魅力
o,0.122,0.039,347.08,設定状況の魅力
m,0.119,0.11,347.312,設定状況の魅力
u,0.13,0.271,347.702,設定状況の魅力
d,0.114,0.843,348.675,設定状況の魅力
o,0.06,0.023,348.812,設定状況の魅力
r,0.213,0.048,348.92,設定状況の魅力
e,0.121,0.226,349.098,設定状況の魅力
t,0.096,0.707,349.927,設定状況の魅力
i,0.094,0.027,350.049,設定状況の魅力
z,0.111,0.168,350.311,設定状況の魅力
u,0.11,0.059,350.482,設定状況の魅力
k,0.093,0.588,351.181,設定状況の魅力
a,0.084,0.681,351.274,設定状況の魅力
j,0.148,0.135,351.492,設定状況の魅力
i,0.117,0.216,351.573,設定状況の魅力
j,0.147,1.245,352.935,設定状況の魅力
i,0.116,1.317,353.007,設定状況の魅力
s,0.104,0.107,353.23,設定状況の魅力
a,0.1,0.031,353.366,設定状況の魅力
a,0.104,0.744,354.209,設定状況の魅力
o,0.096,0.246,354.56,設定状況の魅力
p,0.066,0.278,354.933,設定状況の魅力
p,0.087,0.078,355.077,設定状況の魅力
a,0.1,0.154,355.319,設定状況の魅力
p,0.058,0.041,355.46,設定状況の魅力
p,0.082,0.072,355.59,設定状況の魅力
u,0.112,0.106,355.778,設定状況の魅力
space,0.09,0.25,356.14,設定状況の魅力
a,0.096,5.159,361.39,設定状況の魅力
s,0.098,1.246,362.731,設定状況の魅力
o,0.085,1.337,362.823,設定状況の魅力
b,0.192,0.165,363.072,設定状況の魅力
i,0.12,0.309,363.217,設定状況の魅力
k,0.197,1.838,365.175,設定状況の魅力
o,0.129,1.936,365.273,設定状況の魅力
k,0.113,0.346,365.748,設定状況の魅力
u,0.11,0.13,365.992,設定状況の魅力
r,0.067,0.098,366.2,設定状況の魅力
o,0.076,0.053,366.321,設定状況の魅力
d,0.109,1.309,367.706,設定状況の魅力
o,0.077,1.416,367.813,設定状況の魅力
u,0.128,0.415,368.305,設定状況の魅力
r,0.127,0.058,368.491,設定状況の魅力
e,0.153,0.115,368.548,設定状況の魅力
k,0.082,1.022,369.723,設定状況の魅力
d,0.128,0.191,369.996,設定状況の魅力
o,0.175,0.051,370.175,設定状況の魅力
u,0.13,0.191,370.315,設定状況の魅力
r,0.115,0.33,370.775,設定状況の魅力
o,0.073,0.026,370.916,設定状況の魅力
d,0.081,0.552,371.542,設定状況の魅力
o,0.078,0.031,371.653,設定状況の魅力
k,0.112,0.029,371.76,設定状況の魅力
o,0.086,0.104,371.835,設定状況の魅力
a,0.079,0.844,372.764,設定状況の魅力
i,0.101,0.052,372.895,設定状況の魅力
s,0.104,0.067,373.062,設定状況の魅力
u,0.07,0.035,373.202,設定状況の魅力
u,0.084,0.594,373.865,設定状況の魅力
e,0.11,0.081,374.03,設定状況の魅力
r,0.088,0.08,374.22,設定状況の魅力
u,0.089,0.037,374.346,設定状況の魅力
y,0.111,1.609,376.044,設定状況の魅力
u,0.11,1.688,376.123,設定状況の魅力
m,0.077,0.289,376.522,設定状況の魅力
e,0.078,0.031,376.63,設定状況の魅力
w,0.12,6.731,383.439,設定状況の魅力
a,0.134,6.83,383.538,設定状況の魅力
k,0.176,0.067,383.739,設定状況の魅力
l,0.141,0.067,383.739,設定状況の魅力
y,0.125,1.21,385.125,設定状況の魅力
u,0.066,1.297,385.212,設定状況の魅力
k,0.086,0.121,385.399,設定状況の魅力
i,0.088,0.087,385.572,設定状況の魅力
i,0.108,0.566,386.227,設定状況の魅力
d,0.114,0.23,386.564,設定状況の魅力
a,0.106,0.03,386.708,設定状況の魅力
i,0.107,0.095,386.773,設定状況の魅力
h,0.111,1.109,387.989,設定状況の魅力
g,0.042,1.116,387.996,設定状況の魅力
a,0.129,0.031,388.069,設定状況の魅力
j,0.081,0.848,389.046,設定状況の魅力
a,0.069,0.038,389.165,設定状況の魅力
m,0.081,0.04,389.275,設定状況の魅力
a,0.071,0.028,389.384,設定状況の魅力
h,0.077,1.035,390.489,設定状況の魅力
a,0.081,1.086,390.54,設定状況の魅力
t,0.086,0.133,390.755,設定状況の魅力
o,0.071,0.031,390.872,設定状況の魅力
o,0.076,0.911,391.854,設定状況の魅力
k,0.077,0.116,392.046,設定状況の魅力
a,0.075,0.03,392.154,設定状況の魅力
s,0.103,0.084,392.312,設定状況の魅力
i,0.069,0.03,392.445,設定状況の魅力
a,0.104,1.138,393.651,設定状況の魅力
s,0.099,0.061,393.815,設定状況の魅力
i,0.101,0.29,394.204,設定状況の魅力
j,0.185,0.437,394.742,設定状況の魅力
i,0.141,0.527,394.833,設定状況の魅力
s,0.07,2.099,397.073,設定状況の魅力
e,0.122,0.083,397.226,設定状況の魅力
a,0.104,0.093,397.441,設定状況の魅力
u,0.116,0.093,397.638,設定状況の魅力
m,0.096,0.489,398.243,設定状況の魅力
e,0.128,0.031,398.37,設定状況の魅力
s,0.081,0.286,398.784,設定状況の魅力
u,0.091,0.031,398.896,設定状況の魅力
d,0.098,0.646,399.634,設定状況の魅力
e,0.131,0.087,399.818,設定状況の魅力
a,0.108,0.251,400.2,設定状況の魅力
u,0.11,0.141,400.449,設定状況の魅力
t,0.143,1.407,401.966,設定状況の魅力
i,0.116,0.165,402.274,設定状況の魅力
t,0.119,0.154,402.543,設定状況の魅力
i,0.094,0.031,402.693,設定状況の魅力
h,0.117,0.85,403.637,設定状況の魅力
y,0.142,0.195,403.95,設定状況の魅力
o,0.189,0.041,404.133,設定状況の魅力
u,0.127,0.168,404.26,設定状況の魅力
t,0.099,0.711,405.097,設定状況の魅力
o,0.158,0.042,405.238,設定状況の魅力
u,0.126,0.126,405.322,設定状況の魅力
