キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
r,0.213,0.048,348.920
e,0.121,0.226,349.098
t,0.096,0.707,349.927
i,0.094,0.027,350.049
z,0.111,0.168,350.311
u,0.110,0.059,350.482
k,0.093,0.588,351.181
a,0.084,0.681,351.274
j,0.148,0.135,351.492
i,0.117,0.216,351.573
j,0.147,1.245,352.935
i,0.116,1.317,353.007
s,0.104,0.107,353.230
a,0.100,0.031,353.366
a,0.104,0.744,354.209
o,0.096,0.246,354.560
p,0.066,0.278,354.933
p,0.087,0.078,355.077
a,0.100,0.154,355.319
p,0.058,0.041,355.460
p,0.082,0.072,355.590
u,0.112,0.106,355.778
space,0.090,0.250,356.140
a,0.096,5.159,361.390
s,0.098,1.246,362.731
o,0.085,1.337,362.823
b,0.192,0.165,363.072
i,0.120,0.309,363.217
k,0.197,1.838,365.175
o,0.129,1.936,365.273
k,0.113,0.346,365.748
u,0.110,0.130,365.992
r,0.067,0.098,366.200
o,0.076,0.053,366.321
d,0.109,1.309,367.706
o,0.077,1.416,367.813
u,0.128,0.415,368.305
r,0.127,0.058,368.491
e,0.153,0.115,368.548
k,0.082,1.022,369.723
d,0.128,0.191,369.996
o,0.175,0.051,370.175
u,0.130,0.191,370.315
r,0.115,0.330,370.775
o,0.073,0.026,370.916
d,0.081,0.552,371.542
o,0.078,0.031,371.653
k,0.112,0.029,371.760
o,0.086,0.104,371.835
a,0.079,0.844,372.764
i,0.101,0.052,372.895
s,0.104,0.067,373.062
u,0.070,0.035,373.202
u,0.084,0.594,373.865
e,0.110,0.081,374.030
r,0.088,0.080,374.220
u,0.089,0.037,374.346
y,0.111,1.609,376.044
u,0.110,1.688,376.123
m,0.077,0.289,376.522
e,0.078,0.031,376.630
w,0.120,6.731,383.439
a,0.134,6.830,383.538
k,0.176,0.067,383.739
l,0.141,0.067,383.739
y,0.125,1.210,385.125
u,0.066,1.297,385.212
k,0.086,0.121,385.399
i,0.088,0.087,385.572
i,0.108,0.566,386.227
d,0.114,0.230,386.564
a,0.106,0.030,386.708
i,0.107,0.095,386.773
h,0.111,1.109,387.989
g,0.042,1.116,387.996
a,0.129,0.031,388.069
j,0.081,0.848,389.046
a,0.069,0.038,389.165
m,0.081,0.040,389.275
a,0.071,0.028,389.384
h,0.077,1.035,390.489
a,0.081,1.086,390.540
t,0.086,0.133,390.755
o,0.071,0.031,390.872
o,0.076,0.911,391.854
k,0.077,0.116,392.046
a,0.075,0.030,392.154
s,0.103,0.084,392.312
i,0.069,0.030,392.445
a,0.104,1.138,393.651
s,0.099,0.061,393.815
i,0.101,0.290,394.204
j,0.185,0.437,394.742
i,0.141,0.527,394.833
s,0.070,2.099,397.073
e,0.122,0.083,397.226
a,0.104,0.093,397.441
u,0.116,0.093,397.638
m,0.096,0.489,398.243
e,0.128,0.031,398.370
s,0.081,0.286,398.784
u,0.091,0.031,398.896
d,0.098,0.646,399.634
e,0.131,0.087,399.818
a,0.108,0.251,400.200
u,0.110,0.141,400.449
t,0.143,1.407,401.966
i,0.116,0.165,402.274
t,0.119,0.154,402.543
i,0.094,0.031,402.693
h,0.117,0.850,403.637
y,0.142,0.195,403.950
o,0.189,0.041,404.133
u,0.127,0.168,404.260
t,0.099,0.711,405.097
o,0.158,0.042,405.238
u,0.126,0.126,405.322
d,0.081,0.176,405.624
u,0.088,0.031,405.735
t,0.077,0.855,406.678
o,0.121,0.031,406.786
u,0.093,0.100,406.854
d,0.085,0.045,406.993
u,0.059,0.028,407.106
r,0.119,1.329,408.494
o,0.089,0.064,408.676
k,0.153,0.125,408.890
u,0.114,0.252,409.017
u,0.106,0.700,409.832
s,0.098,0.503,410.440
u,0.110,0.035,410.572
k,0.084,0.096,410.779
i,0.066,0.159,411.022
u,0.076,0.434,411.522
s,0.087,0.049,411.647
i,0.071,0.032,411.766
u,0.122,0.528,412.365
s,0.121,0.180,412.667
u,0.107,0.225,413.013
i,0.091,0.118,413.239
n,0.102,1.019,414.349
e,0.128,0.081,414.531
n,0.116,0.216,414.876
d,0.119,0.301,415.293
o,0.099,0.031,415.443
y,0.148,0.782,416.323
o,0.167,0.049,416.520
r,0.081,0.204,416.891
u,0.123,0.267,416.954
k,0.098,0.672,417.748
a,0.105,0.049,417.895
m,0.153,0.061,418.062
i,0.133,0.159,418.159
y,0.142,0.640,418.932
k,0.162,0.687,419.761
u,0.111,0.814,419.888
r,0.123,0.122,420.121
o,0.102,0.210,420.209
i,0.064,0.568,420.879
g,0.077,0.178,421.121
a,0.104,0.032,421.229
i,0.067,0.033,421.367
h,0.094,0.672,422.106
y,0.165,0.161,422.362
o,0.188,0.300,422.500
u,0.116,0.116,422.643
b,0.141,0.762,423.521
i,0.118,0.851,423.610
a,0.124,0.275,424.003
u,0.159,1.011,425.138
t,0.109,0.136,425.434
a,0.111,0.334,425.877
u,0.109,0.170,426.157
d,0.113,0.971,427.237
o,0.171,1.030,427.295
u,0.106,0.025,427.492
r,0.130,0.032,427.498
a,0.085,0.809,428.437
c,0.113,0.476,428.999
a,0.102,0.077,429.189
t,0.084,1.349,430.640
a,0.095,0.091,430.815
k,0.177,0.063,430.972
u,0.141,0.154,431.063
d,0.116,0.563,431.766
o,0.081,0.031,431.914
r,0.116,0.093,432.088
u,0.130,0.200,432.195
m,0.062,0.878,433.203
a,0.098,0.027,433.292
k,0.158,0.055,433.446
u,0.122,0.156,433.547
t,0.089,1.370,435.039
a,0.094,0.092,435.221
o,0.201,0.072,435.386
u,0.097,0.217,435.531
t,0.090,0.588,436.217
a,0.099,0.098,436.404
o,0.113,0.128,436.631
u,0.078,0.031,436.775
s,0.107,0.054,436.799
t,0.124,0.520,437.425
a,0.085,0.071,437.620
o,0.074,0.124,437.830
s,0.117,0.050,437.953
u,0.072,0.029,438.099
j,0.088,0.532,438.703
i,0.153,0.209,439.000
o,0.089,0.430,439.583
u,0.119,0.162,439.833
o,0.069,0.637,440.590
t,0.070,0.045,440.704
t,0.064,0.072,440.847
o,0.076,0.133,441.044
n,0.076,1.333,442.453
a,0.096,1.403,442.523
s,0.087,0.370,442.990
a,0.106,0.031,443.108
r,0.095,0.224,443.438
u,0.090,0.055,443.588
n,0.096,0.692,444.370
r,0.113,0.470,444.937
u,0.079,0.027,445.076
n,0.081,0.400,445.555
u,0.081,0.130,445.767
r,0.102,0.043,445.891
u,0.050,0.034,446.027
r,0.113,1.083,447.160
i,0.074,0.030,447.302
k,0.091,0.177,447.554
a,0.100,0.025,447.670
a,0.102,0.290,448.060
i,0.083,0.058,448.220
d,0.114,0.330,448.633
e,0.107,0.100,448.847
a,0.106,0.093,449.047
m,0.087,0.451,449.603
a,0.071,0.031,449.721
d,0.129,0.086,449.878
o,0.108,0.203,449.995
n,0.096,0.417,450.519
e,0.085,0.030,450.646
i,0.064,0.399,451.130
h,0.109,0.676,451.870
a,0.096,0.030,452.009
k,0.206,0.209,452.314
o,0.114,0.371,452.476
t,0.084,0.747,453.336
u,0.126,0.192,453.612
t,0.105,0.343,454.081
y,0.146,0.044,454.230
o,0.214,0.161,454.347
u,0.113,0.147,454.523
p,0.116,1.440,456.076
o,0.089,1.512,456.148
s,0.105,0.180,456.416
u,0.073,0.270,456.506
t,0.082,0.087,456.666
o,0.079,0.021,456.769
n,0.061,1.116,457.963
e,0.083,1.177,458.025
r,0.047,0.150,458.258
u,0.111,0.030,458.336
i,0.083,1.173,459.619
y,0.111,0.215,459.917
o,0.151,0.031,460.059
i,0.099,0.193,460.404
y,0.130,0.041,460.543
o,0.185,0.030,460.703
z,0.074,0.826,461.713
e,0.088,0.333,462.121
n,0.149,0.129,462.337
i,0.121,0.232,462.440
h,0.106,0.519,463.080
a,0.089,0.032,463.219
y,0.103,0.375,463.683
a,0.099,0.058,463.844
h,0.070,0.640,464.583
a,0.083,0.023,464.676
t,0.065,0.042,464.801
a,0.102,0.041,464.907
a,0.072,0.119,465.127
i,0.079,0.125,465.324
g,0.093,1.105,466.508
o,0.087,0.031,466.632
m,0.125,0.142,466.861
i,0.149,0.201,466.920
n,0.084,0.555,467.623
a,0.077,0.627,467.695
m,0.084,0.067,467.839
a,0.095,0.122,467.895
e,0.101,0.130,468.121
s,0.080,0.417,468.639
i,0.092,0.097,468.816
k,0.084,0.186,469.094
y,0.084,0.091,469.270
o,0.154,0.058,469.412
u,0.127,0.181,469.534
h,0.090,1.170,470.831
a,0.087,0.037,470.957
y,0.064,0.319,471.364
t,0.017,0.331,471.376
space,0.083,0.182,471.610
p,0.067,5.303,476.996
e,0.116,0.042,477.105
-,0.072,0.093,477.314
s,0.087,0.272,477.658
u,0.085,0.061,477.806
m,0.078,4.578,482.468
a,0.062,0.030,482.577
n,0.078,0.029,482.668
a,0.080,0.027,482.773
-,0.065,0.500,483.353
h,0.064,2.125,485.543
a,0.085,0.028,485.635
t,0.072,0.168,485.888
t,0.094,0.074,486.034
a,0.095,0.073,486.201
r,0.116,0.622,486.918
y,0.101,0.030,487.064
o,0.164,0.122,487.157
u,0.099,0.098,487.263
d,0.113,0.544,487.907
o,0.087,0.029,488.048
r,0.127,0.286,488.420
e,0.130,0.357,488.491
p,0.093,0.614,489.236
r,0.067,0.408,489.736
o,0.080,0.030,489.833
f,0.134,1.311,491.225
e,0.175,0.030,491.389
r,0.107,0.183,491.746
e,0.151,0.037,491.890
t,0.056,0.062,492.103
t,0.078,0.075,492.235
o,0.093,0.049,492.362
p,0.116,0.638,493.092
u,0.125,0.072,493.280
r,0.113,0.283,493.688
t,0.087,0.918,494.719
o,0.090,0.029,494.835
k,0.087,0.119,495.044
i,0.091,0.087,495.219
t,0.081,3.594,498.904
a,0.089,0.099,499.084
o,0.203,0.144,499.317
u,0.137,0.030,499.551
t,0.095,0.607,500.294
a,0.099,0.064,500.453
o,0.133,0.072,500.624
u,0.096,0.030,500.787
s,0.087,0.032,500.915
t,0.109,0.409,501.411
a,0.108,0.099,501.619
o,0.116,0.116,501.843
s,0.081,0.063,502.022
u,0.120,0.076,502.035
f,0.118,1.996,504.151
u,0.093,0.030,504.298
a,0.064,0.049,504.440
a,0.080,0.094,504.598
n,0.069,0.058,504.736
n,0.089,0.066,504.870
f,0.094,0.294,505.253
u,0.133,0.164,505.512
a,0.085,0.168,505.813
n,0.076,0.062,505.960
n,0.090,0.060,506.096
w,0.118,0.487,506.673
a,0.130,0.606,506.791
k,0.183,0.090,506.881
u,0.123,0.080,507.001
t,0.075,0.359,507.484
u,0.091,0.035,507.594
m,0.177,0.178,507.863
i,0.141,0.266,507.951
k,0.161,0.770,508.862
o,0.128,0.877,508.968
i,0.111,0.212,509.308
n,0.173,0.378,509.797
u,0.139,0.494,509.912
d,0.121,0.921,510.973
a,0.119,0.183,511.277
r,0.125,0.239,511.635
e,0.131,0.340,511.736
m,0.190,0.591,512.458
i,0.109,0.710,512.577
m,0.121,0.348,513.034
e,0.124,0.030,513.186
i,0.116,0.115,513.425
s,0.095,0.336,513.877
i,0.084,0.429,513.969
t,0.107,0.692,514.746
i,0.113,0.069,514.921
t,0.098,0.603,515.637
i,0.109,0.125,515.861
g,0.075,0.348,516.318
o,0.104,0.030,516.423
d,0.139,0.842,517.368
o,0.114,0.040,517.548
r,0.127,0.764,518.426
u,0.114,0.030,518.583
e,0.116,1.405,520.102
g,0.055,0.689,520.907
e,0.088,0.039,521.002
n,0.098,0.031,521.120
t,0.090,0.187,521.405
